"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000229807",12303.0520964845,10.1619649464496,1.26324679820719,8.04432274110775,8.67236889689873e-16,9.78490993538659e-13,"XIST","GO:0009048"
"ENSG00000170054",53.5356656053305,9.1529324244305,1.52520170457763,6.00112916013638,1.95950037937027e-09,1.57202587188387e-07,"SERPINA9","GO:0004867"
"ENSG00000253274",87.9288002902251,8.75675643007852,1.2888777094224,6.7940940913648,1.08995235095232e-11,1.77493683872606e-09,NA,NA
"ENSG00000260303",22.7089939813792,8.38910046768693,2.00550878345374,4.18302853465435,2.87651271309595e-05,0.00060753751825037,NA,NA
"ENSG00000211599",29.4197150689536,8.37282580754638,1.36109484879166,6.15153735610678,7.67354465942103e-10,7.15110981948169e-08,NA,NA
"ENSG00000255760",97.1915069427657,8.26864313157781,1.17494795829551,7.03745478529368,1.95783035286885e-12,4.61580421700243e-10,"LINC02422",NA
"ENSG00000222037",960.595141072593,8.17403136806598,1.17607091399095,6.9502878362392,3.64541657713816e-12,7.21612553242273e-10,NA,NA
"ENSG00000257275",27.1453282117173,8.15626708495111,1.89891312491714,4.29522919080726,1.74512950553944e-05,0.000402849074187378,NA,NA
"ENSG00000100721",391.655817429889,8.11814365657357,1.04977974737354,7.73318753470381,1.04886609447421e-14,6.37226493396715e-12,"TCL1A","GO:0005515"
"ENSG00000253497",84.2328363947267,8.05985622504851,1.06319277877417,7.58080414573668,3.43419689056723e-14,1.52807250939155e-11,NA,NA
"ENSG00000242534",54.5811838975293,7.921118915588,1.2803945169427,6.18646738233608,6.15274081287692e-10,5.9993020913706e-08,NA,NA
"ENSG00000254029",17.8998609047638,7.90337536993943,1.86792199370879,4.23110568672471,2.32545368970622e-05,0.000510888268186363,NA,NA
"ENSG00000253818",47.6014324531762,7.85911261037664,1.42150959095092,5.52870881801036,3.22596275736255e-08,1.75714854190686e-06,NA,NA
"ENSG00000243063",73.2317519881542,7.85864366021456,1.22994374355478,6.38943342034615,1.66501512108226e-10,1.87192732047085e-08,NA,NA
"ENSG00000235896",50.7957148967452,7.8502940104197,1.39037410494081,5.64617392004284,1.64057883904509e-08,9.90997450919932e-07,NA,NA
"ENSG00000181617",341.199335267291,7.76417819822689,1.52028246463511,5.10706291681816,3.27204824954927e-07,1.32018580204037e-05,"FDCSP","GO:0005576"
"ENSG00000242580",51.3450215013629,7.73582148726731,1.23069554854679,6.28573126505723,3.26313995128015e-10,3.39108938621192e-08,NA,NA
"ENSG00000211648",1912.41002520252,7.73287866732804,0.99428229674678,7.77734723089154,7.40611219004272e-15,4.97816800654956e-12,NA,NA
"ENSG00000211667",40.0165819438549,7.70216835366883,1.39472265518044,5.52236555781218,3.3446570427549e-08,1.80622915033697e-06,NA,NA
"ENSG00000253234",24.493790514355,7.61551562920619,1.06753446686745,7.13374215593525,9.76762308019689e-13,2.44903768531413e-10,NA,NA
