"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000254029",17.8998609047638,7.36160036753536,1.86720503032826,3.94257740738904,8.061062049743e-05,0.00362272294362871,NA,NA
"ENSG00000231682",2.91428971554828,5.59889381263791,1.39525993921825,4.01279622188173,6.00037097034019e-05,0.00304416726191605,"LINC01891",NA
"ENSG00000229613",3.86827171982862,5.42497391380349,1.16348393151332,4.66269775358853,3.12090949172772e-06,0.000501242204002899,NA,NA
"ENSG00000165588",2.46417799535754,5.30937630667805,1.675062228106,3.16965914315995,0.00152617856344441,0.0228380345248184,"OTX2","GO:0000978"
"ENSG00000162897",18.5835267553399,5.15926061407601,1.38628611397298,3.7216419915583,0.000197931514966421,0.00642172895097529,"FCAMR","GO:0002250"
"ENSG00000228655",2.62455758839176,4.83816333863105,0.842228703097184,5.74447691089053,9.22055755196463e-09,2.3872091248414e-05,NA,NA
"ENSG00000170054",53.5356656053305,4.82625590115476,1.3955177327018,3.45839811853257,0.000543397750756734,0.0119904530035991,"SERPINA9","GO:0004867"
"ENSG00000181617",341.199335267291,4.51656342367608,1.50645469066693,2.99814090105593,0.00271632058139723,0.0328193845807222,"FDCSP","GO:0005576"
"ENSG00000223881",1.63508503185182,4.44728700783416,1.59445775428613,2.78921595500366,0.00528358207859025,0.0497872709966348,NA,NA
"ENSG00000154165",88.3930475661914,4.43417479078919,0.866441766265654,5.11768356908785,3.09310964078875e-07,0.000126956063307513,"GPR15","GO:0001618"
"ENSG00000261435",1.91503057194835,4.41158429589992,1.26548527886572,3.48608108650155,0.000490152407369743,0.0112106455407069,NA,NA
"ENSG00000164485",3.29373474033259,4.3094121470381,1.54386386104362,2.79131616185706,0.00524941684120134,0.0496017974714479,"IL22RA2","GO:0004896"
"ENSG00000180613",1.54229948895258,4.29203820368226,1.33646712410103,3.21148057163717,0.00132052899332072,0.0208870903186079,"GSX2","GO:0000981"
"ENSG00000211750",8.03166036743129,4.2388332402395,0.784496283573974,5.40325471132688,6.54424264435483e-08,4.80613933997592e-05,NA,NA
"ENSG00000255582",2.82926627460679,4.23637115537639,1.00372196849245,4.22066198445297,2.43585950108459e-05,0.00167797240987036,"OR10G2","GO:0004930"
"ENSG00000104921",377.328536451722,4.18092083410407,0.812662278484896,5.14472117728765,2.67918432256997e-07,0.000118465237807433,"FCER2","GO:0002925"
"ENSG00000253853",3.15127503692526,4.14854230830076,1.02216360265646,4.0585893466753,4.93700442026631e-05,0.00270649514820042,NA,NA
"ENSG00000224442",2.39769368054143,4.13805925735991,1.17747993862583,3.51433525244532,0.000440856038120767,0.0105189722102554,NA,NA
"ENSG00000166603",4.78638314513437,4.09895072441216,1.24501774782924,3.2922829666958,0.000993775677015083,0.0175085205641385,"MC4R","GO:0002024"
"ENSG00000264473",1.55965214501926,4.08601872753134,1.36924613457676,2.98413749314278,0.00284378952181572,0.0337838011439244,NA,NA
