"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000152266",6.83383448814381,-21.911046205603,3.59360378082735,-6.09723484890103,1.07918915452764e-09,1.04573429073728e-05,"PTH","GO:0000122"
"ENSG00000110680",2312.97037962207,-5.86370497503258,1.44770976866517,-4.05033184271395,5.11450519534793e-05,0.00275841680943904,"CALCA","GO:0002548"
"ENSG00000134443",28.8721108750612,-5.37886086871168,1.88086800313542,-2.85977583740331,0.00423940554999375,0.0430005301250238,"GRP","GO:0005102"
"ENSG00000243137",3.98533489701772,-4.9646568370234,1.29823441836725,-3.82416054202852,0.000131218396411962,0.00487790125792292,"PSG4","GO:0005576"
"ENSG00000178082",3.90970969924358,-4.02757740539395,0.780065534311425,-5.16312697874691,2.42858275144507e-07,0.000112061746959537,NA,NA
"ENSG00000079689",52.9191679249803,-3.95055800759323,0.737025568143748,-5.36013698621473,8.31588700931356e-08,5.55412739282833e-05,"SCGN","GO:0005509"
"ENSG00000114638",3.34284109544795,-3.51959219672194,1.2347996378694,-2.85033465250675,0.00436732512564868,0.0437635785600163,"UPK1B","GO:0005198"
"ENSG00000234025",2.37645601797367,-3.40216650069797,0.965176525858034,-3.52491633348984,0.000423616563555541,0.0102333287961204,NA,NA
"ENSG00000250033",37.2567745493977,-3.40175274773424,0.819396208788914,-4.1515358641482,3.30251498737182e-05,0.00204264065282763,"SLC7A11-AS1",NA
"ENSG00000100604",43.1533765909799,-3.38274762415826,0.894370465138552,-3.78226669597618,0.000155406727020286,0.00548261353698994,"CHGA","GO:0002026"
"ENSG00000230663",3.9069715862301,-3.1801369153879,1.05862438306342,-3.00402764782851,0.00266431112321113,0.0324064955446643,NA,NA
"ENSG00000180673",1.62351170892945,-3.15669573754264,1.10022464583156,-2.8691374525216,0.00411592889223085,0.0421894074601708,NA,NA
"ENSG00000130720",5.89362576120981,-3.13602368894389,0.811746688481921,-3.86330333519276,0.000111863958055719,0.00435822956035916,"FIBCD1","GO:0005515"
"ENSG00000120332",308.079798791864,-3.09894941578188,0.599947717794449,-5.16536578749622,2.39969166203988e-07,0.000112061746959537,"TNN","GO:0002076"
"ENSG00000243584",2.60156403515464,-3.09048132581914,1.02209914541772,-3.0236610016498,0.00249736105320883,0.0309954240477534,NA,NA
"ENSG00000128564",25.8805941384212,-3.08233035436318,0.853938034783578,-3.60954803370992,0.000306730973941982,0.00842785388704483,"VGF","GO:0001541"
"ENSG00000089225",225.063026659361,-3.04126111010996,0.814210680879301,-3.73522625228347,0.000187546494365824,0.00622583621511922,"TBX5","GO:0000122"
"ENSG00000232762",5.44905578683823,-2.7664958208624,0.721908572796735,-3.83219693616431,0.000127004006099066,0.00475161706216198,NA,NA
"ENSG00000136695",6.70869552358567,-2.66873412127926,0.563802562990468,-4.7334551072702,2.20729801400432e-06,0.000427774355114037,"IL36RN","GO:0001960"
"ENSG00000140465",173.844175823993,-2.65940487506654,0.875995949734695,-3.03586435059657,0.00239847243376515,0.0302330959101329,"CYP1A1","GO:0001666"
