"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000152266",6.83383448814381,-26.1161357435897,3.59365164969523,-7.26729752612627,3.66750446673816e-13,5.33071774240391e-09,"PTH","GO:0000122"
"ENSG00000229807",12303.0520964845,-9.83351356471087,1.26324912382927,-7.78430269945702,7.0098743308424e-15,2.03777046797589e-10,"XIST","GO:0009048"
"ENSG00000253274",87.9288002902251,-7.83095367924673,1.28921434202745,-6.07420614552861,1.2460257792855e-09,3.96104499731527e-06,NA,NA
"ENSG00000211599",29.4197150689536,-7.25029422542699,1.36234855972925,-5.3219083865497,1.02684284780716e-07,7.45126315652378e-05,NA,NA
"ENSG00000211937",964.634832090227,-7.0272388358291,1.05516780937166,-6.6598305723653,2.7414342941577e-11,1.59386989862329e-07,NA,NA
"ENSG00000211950",688.644790456796,-6.94271666446004,1.03554722285269,-6.70439407421175,2.02243796685815e-11,1.46980679241416e-07,NA,NA
"ENSG00000211934",1438.63105300484,-6.75456879337716,1.04563127248031,-6.45979990379861,1.04841515677009e-10,5.07957143455108e-07,NA,NA
"ENSG00000222037",960.595141072593,-6.51348806533224,1.17615191472319,-5.53796493785858,3.06006502065418e-08,2.9652030050139e-05,NA,NA
"ENSG00000235896",50.7957148967452,-6.49633504658753,1.39130973503295,-4.66922273524785,3.02341443332748e-06,0.00092516481659821,NA,NA
"ENSG00000211667",40.0165819438549,-6.40840273940991,1.39583028197567,-4.59110453624736,4.40906419786325e-06,0.00122068091649414,NA,NA
"ENSG00000243063",73.2317519881542,-6.32072087962848,1.23083049032534,-5.13533011191308,2.81649205616154e-07,0.000160477091770709,NA,NA
"ENSG00000211905",44.0693605931501,-6.28521536826715,1.12459642319733,-5.58886302554448,2.28561145242062e-08,2.65504324310921e-05,NA,NA
"ENSG00000240864",487.937587038173,-6.22439679663951,0.907784379980002,-6.85669078903586,7.04739412665553e-12,6.82892490872921e-08,NA,NA
"ENSG00000253234",24.493790514355,-6.19521498640189,1.07024078645748,-5.78861791177681,7.09679229431202e-09,1.14613195553139e-05,NA,NA
"ENSG00000253763",14.5002860709431,-6.16747315722889,1.29310087612327,-4.76952206212948,1.84663519087951e-06,0.000671021062485841,NA,NA
"ENSG00000254395",89.0159754970843,-6.15031308149372,1.22068276651266,-5.03842050548843,4.69389297171172e-07,0.000235261152909758,NA,NA
"ENSG00000211655",158.68287409086,-6.14875193074912,1.05388973092435,-5.83434087108537,5.40036187244553e-09,9.81178247699947e-06,NA,NA
"ENSG00000271178",29.0800047324375,-6.09897038293939,1.4302771791204,-4.26418771967693,2.00630721458298e-05,0.00407855599495994,NA,NA
"ENSG00000211663",1924.98072081124,-6.06173560419276,1.08590015635592,-5.58222187252908,2.37465167942344e-08,2.65504324310921e-05,NA,NA
"ENSG00000242371",2103.06672091901,-5.96779684021458,0.946987727937624,-6.30187347117097,2.94069192441358e-10,1.22122734632433e-06,NA,NA
